T/V,N,NB,P,Q,Time,Gflops
WR11C2C4,14336,32,1,8,51.42,3.821e+01
WR11C2C4,14336,32,1,8,50.87,3.862e+01
WR11C2C4,14336,32,1,8,73.49,2.673e+01
WR11C2C4,14336,32,1,8,73.19,2.684e+01
WR11C2C4,14336,32,1,8,963.24,2.040e+00
WR11C2C4,14336,32,1,8,69.51,2.826e+01
WR11C2C4,14336,32,1,8,73.06,2.689e+01
WR11C2C4,14336,32,1,8,91.97,2.136e+01
WR11C2C4,14336,32,1,8,73.32,2.679e+01
WR11C2C4,14336,32,1,8,74.60,2.633e+01
WR11C2C4,14336,32,1,8,73.83,2.661e+01
WR11C2C4,14336,32,1,8,62.43,3.147e+01
WR11C2C4,14336,32,1,8,68.92,2.850e+01
WR11C2C4,14336,32,1,8,71.08,2.764e+01
WR11C2C4,14336,32,1,8,71.43,2.750e+01
WR11C2C4,14336,32,1,8,77.61,2.531e+01
WR11C2C4,14336,32,1,8,71.57,2.745e+01
WR11C2C4,14336,32,1,8,87.92,2.234e+01
WR11C2C4,14336,32,1,8,71.99,2.729e+01
WR11C2C4,14336,32,1,8,71.66,2.741e+01
WR11C2C4,14336,32,1,8,85.26,2.304e+01
WR11C2C4,14336,32,1,8,57.44,3.420e+01
WR11C2C4,14336,32,1,8,98.91,1.986e+01
WR11C2C4,14336,32,1,8,87.56,2.244e+01
WR11C2C4,14336,32,1,8,72.32,2.716e+01
WR11C2C4,14336,32,1,8,93.86,2.093e+01
WR11C2C4,14336,32,1,8,85.40,2.300e+01
WR11C2C4,14336,32,1,8,71.87,2.733e+01
WR11C2C4,14336,32,1,8,72.77,2.700e+01
WR11C2C4,14336,32,1,8,71.45,2.750e+01
WR11C2C4,14336,32,1,8,71.69,2.740e+01
WR11C2C4,14336,32,1,8,69.49,2.827e+01
WR11C2C4,14336,32,1,8,59.30,3.313e+01
WR11C2C4,14336,32,1,8,71.42,2.751e+01
WR11C2C4,14336,32,1,8,69.59,2.823e+01
WR11C2C4,14336,32,1,8,71.44,2.750e+01
WR11C2C4,14336,32,1,8,71.93,2.731e+01
WR11C2C4,14336,32,1,8,71.83,2.735e+01
WR11C2C4,14336,32,1,8,86.09,2.282e+01
WR11C2C4,14336,32,1,8,84.00,2.339e+01
WR11C2C4,14336,32,1,8,57.41,3.422e+01
WR11C2C4,14336,32,1,8,49.66,3.956e+01
WR11C2C4,14336,32,1,8,149.83,1.311e+01
WR11C2C4,14336,32,1,8,71.53,2.747e+01
WR11C2C4,14336,32,1,8,71.52,2.747e+01
WR11C2C4,14336,32,1,8,65.35,3.006e+01
WR11C2C4,14336,32,1,8,71.56,2.745e+01
WR11C2C4,14336,32,1,8,55.13,3.564e+01
WR11C2C4,14336,32,1,8,69.57,2.824e+01
WR11C2C4,14336,32,1,8,54.19,3.625e+01
WR11C2C4,14336,32,1,8,154.57,1.271e+01
WR11C2C4,14336,32,1,8,71.30,2.755e+01
WR11C2C4,14336,32,1,8,103.67,1.895e+01
WR11C2C4,14336,32,1,8,72.07,2.726e+01
WR11C2C4,14336,32,1,8,67.06,2.930e+01
WR11C2C4,14336,32,1,8,71.90,2.732e+01
WR11C2C4,14336,32,1,8,80.22,2.449e+01
WR11C2C4,14336,32,1,8,55.91,3.514e+01
WR11C2C4,14336,32,1,8,140.55,1.398e+01
WR11C2C4,14336,32,1,8,71.80,2.736e+01
WR11C2C4,14336,32,1,8,72.32,2.716e+01
WR11C2C4,14336,32,1,8,83.07,2.365e+01
WR11C2C4,14336,32,1,8,68.60,2.864e+01
WR11C2C4,14336,32,1,8,73.60,2.669e+01
WR11C2C4,14336,32,1,8,71.11,2.763e+01
WR11C2C4,14336,32,1,8,68.80,2.855e+01
WR11C2C4,14336,32,1,8,71.31,2.755e+01
WR11C2C4,14336,32,1,8,71.30,2.755e+01
WR11C2C4,14336,32,1,8,55.06,3.568e+01
WR11C2C4,14336,32,1,8,81.59,2.408e+01
WR11C2C4,14336,32,1,8,69.19,2.839e+01
WR11C2C4,14336,32,1,8,89.99,2.183e+01
WR11C2C4,14336,32,1,8,85.83,2.289e+01
WR11C2C4,14336,32,1,8,72.48,2.711e+01
WR11C2C4,14336,32,1,8,81.44,2.412e+01
WR11C2C4,14336,32,1,8,72.87,2.696e+01
WR11C2C4,14336,32,1,8,71.10,2.763e+01
WR11C2C4,14336,32,1,8,69.73,2.817e+01
WR11C2C4,14336,32,1,8,71.19,2.760e+01
WR11C2C4,14336,32,1,8,64.43,3.049e+01
WR11C2C4,14336,32,1,8,61.81,3.179e+01
WR11C2C4,14336,32,1,8,64.99,3.023e+01
WR11C2C4,14336,32,1,8,160.95,1.221e+01
WR11C2C4,14336,32,1,8,63.62,3.088e+01
WR11C2C4,14336,32,1,8,72.74,2.701e+01
WR11C2C4,14336,32,1,8,102.25,1.921e+01
WR11C2C4,14336,32,1,8,73.40,2.676e+01
WR11C2C4,14336,32,1,8,73.79,2.662e+01
WR11C2C4,14336,32,1,8,107.14,1.834e+01
WR11C2C4,14336,32,1,8,94.84,2.071e+01
WR11C2C4,14336,32,1,8,138.27,1.421e+01
WR11C2C4,14336,32,1,8,71.98,2.729e+01
WR11C2C4,14336,32,1,8,92.36,2.127e+01
WR11C2C4,14336,32,1,8,72.07,2.726e+01
WR11C2C4,14336,32,1,8,72.90,2.695e+01
WR11C2C4,14336,32,1,8,94.69,2.075e+01
